company_name,ticker,company_name_norm,is_gx
ステムセル研究所,7096,ステムセル研究所,0
さくらさくプラス,7097,さくらさくプラス,0
エージェント,7098,エージェント,0
日本車輌製造,7102,日本車輌製造,0
三菱ロジスネクスト,7105,三菱ロジスネクスト,0
クラシコム,7110,クラシコム,0
ＩＮＥＳＴ,7111,ＩＮＥＳＴ,0
キューブ,7112,キューブ,0
フーディソン,7114,フーディソン,0
アルファパーチェス,7115,アルファパーチェス,0
ダイワ通信,7116,ダイワ通信,0
ハルメクホールディングス,7119,ハルメクホールディングス,0
ＳＨＩＮＫＯ,7120,ＳＨＩＮＫＯ,0
近畿車輛,7122,近畿車輛,0
グローバルスタイル,7126,グローバルスタイル,0
一家ホールディングス,7127,一家ホールディングス,0
フルサト・マルカホールディングス,7128,フルサト・マルカホールディングス,0
ミアヘルサホールディングス,7129,ミアヘルサホールディングス,0
ヤマエグループホールディングス,7130,ヤマエグループホールディングス,0
のむら産業,7131,のむら産業,0
フローバル,7132,フローバル,0
ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,7133,ＨＹＵＧＡ ＰＲＩＭＡＲＹ ＣＡＲＥ,0
アップガレージグループ,7134,アップガレージグループ,0
ジャパンクラフトホールディングス,7135,ジャパンクラフトホールディングス,0
ウェルビングループ,7136,ウェルビングループ,0
グラントマト,7137,グラントマト,0
ＴＯＲＩＣＯ,7138,ＴＯＲＩＣＯ,0
東京高圧山崎,7139,東京高圧山崎,0
ペットゴー,7140,ペットゴー,0
ＦＰＧ,7148,ＦＰＧ,0
島根銀行,7150,島根銀行,0
ライフネット生命保険,7157,ライフネット生命保険,0
じもとホールディングス,7161,じもとホールディングス,0
アストマックス,7162,アストマックス,0
全国保証,7164,全国保証,0
めぶきフィナンシャルグループ,7167,めぶきフィナンシャルグループ,1
中央インターナショナルグループ,7170,中央インターナショナルグループ,0
ジャパンインベストメントアドバイザー,7172,ジャパンインベストメントアドバイザー,0
東京きらぼしフィナンシャルグループ,7173,東京きらぼしフィナンシャルグループ,1
今村証券,7175,今村証券,0
シンプレクス・ファイナンシャル・ホールディングス,7176,シンプレクス・ファイナンシャル・ホールディングス,0
ＧＭＯフィナンシャルホールディングス,7177,ＧＭＯフィナンシャルホールディングス,0
九州フィナンシャルグループ,7180,九州フィナンシャルグループ,1
かんぽ生命保険,7181,かんぽ生命保険,0
ゆうちょ銀行,7182,ゆうちょ銀行,0
あんしん保証,7183,あんしん保証,0
富山第一銀行,7184,富山第一銀行,0
ヒロセ通商,7185,ヒロセ通商,0
横浜フィナンシャルグループ,7186,横浜フィナンシャルグループ,1
ジェイリース,7187,ジェイリース,0
西日本フィナンシャルホールディングス,7189,西日本フィナンシャルホールディングス,1
イントラスト,7191,イントラスト,0
日本モーゲージサービス,7192,日本モーゲージサービス,0
Ｃａｓａ,7196,Ｃａｓａ,0
ＳＢＩアルヒ,7198,ＳＢＩアルヒ,0
プレミアグループ,7199,プレミアグループ,0
日産自動車,7201,日産自動車,1
いすゞ自動車,7202,いすゞ自動車,1
トヨタ自動車,7203,トヨタ自動車,1
日野自動車,7205,日野自動車,1
カネミツ,7208,カネミツ,0
三菱自動車工業,7211,三菱自動車工業,1
エフテック,7212,エフテック,0
レシップホールディングス,7213,レシップホールディングス,0
ＧＭＢ,7214,ＧＭＢ,0
ファルテック,7215,ファルテック,0
テイン,7217,テイン,0
田中精密工業,7218,田中精密工業,0
エッチ・ケー・エス,7219,エッチ・ケー・エス,0
武蔵精密工業,7220,武蔵精密工業,0
日産車体,7222,日産車体,0
新明和工業,7224,新明和工業,0
極東開発工業,7226,極東開発工業,0
デイトナ,7228,デイトナ,0
ユタカ技研,7229,ユタカ技研,0
トピー工業,7231,トピー工業,1
東京ラヂエーター製造,7235,東京ラヂエーター製造,0
ティラド,7236,ティラド,1
曙ブレーキ工業,7238,曙ブレーキ工業,0
タチエス,7239,タチエス,0
ＮＯＫ,7240,ＮＯＫ,0
フタバ産業,7241,フタバ産業,0
カヤバ,7242,カヤバ,0
市光工業,7244,市光工業,0
大同メタル工業,7245,大同メタル工業,0
