gx_company_name,ticker,mapped_company_name,name_norm,会社名,業種,emission_label
三菱製紙株式会社,3864,三菱製紙,三菱製紙,三菱製紙株式会社,パルプ・紙・紙加工品製造業,1.0
三菱製鋼株式会社,5632,三菱製鋼,三菱製鋼,三菱製鋼株式会社,鉄鋼業,2.0
三菱電機株式会社,6503,三菱電機,三菱電機,三菱電機株式会社,電気機械器具製造業,1.0
三菱マテリアル株式会社,5711,三菱マテリアル,三菱マテリアル,三菱マテリアル株式会社,非鉄金属製造業,2.0
明治ホールディングス株式会社,2269,明治ホールディングス,明治ホールディングス,※ 明治ホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1.0
森永乳業株式会社,2264,森永乳業,森永乳業,森永乳業株式会社,食料品、飲料・たばこ・飼料製造業,1.0
ヤマハ株式会社,7951,ヤマハ,ヤマハ,ヤマハ株式会社,その他の製造業,1.0
ヤマハ発動機株式会社,7272,ヤマハ発動機,ヤマハ発動機,ヤマハ発動機株式会社,輸送用機械器具製造業,1.0
ユニチカ株式会社,3103,ユニチカ,ユニチカ,ユニチカ株式会社,化学工業,2.0
ユニ・チャーム株式会社,8113,ユニ・チャーム,ユニ・チャーム,ユニ・チャーム株式会社,パルプ・紙・紙加工品製造業,1.0
横河電機株式会社,6841,横河電機,横河電機,横河電機株式会社,電気機械器具製造業,1.0
ライオン株式会社,4912,ライオン,ライオン,ライオン株式会社,化学工業,2.0
リンナイ株式会社,5947,リンナイ,リンナイ,リンナイ株式会社,金属製品製造業,1.0
レンゴー株式会社,3941,レンゴー,レンゴー,レンゴー株式会社,パルプ・紙・紙加工品製造業,1.0
ローム株式会社,6963,ローム,ローム,ローム株式会社,電子部品・デバイス・電子回路製造業,1.0
株式会社イボキン,5699,イボキン,イボキン,株式会社イボキン,鉄鋼業,2.0
アスクル株式会社,2678,アスクル,アスクル,アスクル株式会社,卸売業・小売業,1.0
石光商事株式会社,2750,石光商事,石光商事,石光商事株式会社,卸売業・小売業,1.0
伊藤忠商事株式会社,8001,伊藤忠商事,伊藤忠商事,伊藤忠商事株式会社,卸売業・小売業,1.0
岩谷産業株式会社,8088,岩谷産業,岩谷産業,岩谷産業株式会社,化学工業,2.0
株式会社セブン＆アイ・ホールディングス,3382,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,株式会社セブン＆アイ・ホールディングス,卸売業・小売業,1.0
株式会社フォーバル,8275,フォーバル,フォーバル,株式会社フォーバル,卸売業・小売業,1.0
株式会社山善,8051,山善,山善,株式会社山善,卸売業・小売業,1.0
株式会社理経,8226,理経,理経,株式会社理経,卸売業・小売業,1.0
株式会社クラダシ,5884,クラダシ,クラダシ,株式会社クラダシ,卸売業・小売業,1.0
シナネンホールディングス株式会社,8132,シナネンホールディングス,シナネンホールディングス,シナネンホールディングス株式会社,卸売業・小売業,1.0
上新電機株式会社,8173,上新電機,上新電機,上新電機株式会社,卸売業・小売業,1.0
住友商事株式会社,8053,住友商事,住友商事,住友商事株式会社,卸売業・小売業,1.0
双日株式会社,2768,双日,双日,双日株式会社,卸売業・小売業,1.0
豊田通商株式会社,8015,豊田通商,豊田通商,豊田通商株式会社,卸売業・小売業,1.0
長瀬産業株式会社,8012,長瀬産業,長瀬産業,長瀬産業株式会社,卸売業・小売業,1.0
日本紙パルプ商事株式会社,8032,日本紙パルプ商事,日本紙パルプ商事,日本紙パルプ商事株式会社,卸売業・小売業,1.0
阪和興業株式会社,8078,阪和興業,阪和興業,阪和興業株式会社,卸売業・小売業,1.0
丸紅株式会社,8002,丸紅,丸紅,丸紅株式会社,卸売業・小売業,1.0
三井物産株式会社,8031,三井物産,三井物産,三井物産株式会社,卸売業・小売業,1.0
三菱商事株式会社,8058,三菱商事,三菱商事,三菱商事株式会社,卸売業・小売業,1.0
ユアサ商事株式会社,8074,ユアサ商事,ユアサ商事,ユアサ商事株式会社,卸売業・小売業,1.0
エネルギーパワー株式会社,144A,エネルギーパワー,エネルギーパワー,エネルギーパワー株式会社,電気業,2.0
沖縄電力株式会社,9511,沖縄電力,沖縄電力,沖縄電力株式会社,電気業,2.0
株式会社エフオン,9514,エフオン,エフオン,株式会社エフオン,電気業,2.0
株式会社サーラコーポレーション,2734,サーラコーポレーション,サーラコーポレーション,株式会社サーラコーポレーション,ガス業,2.0
関西電力株式会社,9503,関西電力,関西電力,関西電力株式会社,電気業,2.0
九州電力株式会社,9508,九州電力,九州電力,九州電力株式会社,電気業,2.0
四国電力株式会社,9507,四国電力,四国電力,四国電力株式会社,電気業,2.0
静岡ガス株式会社,9543,静岡ガス,静岡ガス,静岡ガス株式会社,ガス業,2.0
西部ガスホールディングス株式会社,9536,西部ガスホールディングス,西部ガスホールディングス,西部ガスホールディングス株式会社,ガス業,2.0
中国電力株式会社,9504,中国電力,中国電力,中国電力株式会社,電気業,2.0
中部電力株式会社,9502,中部電力,中部電力,中部電力株式会社,電気業,2.0
デジタルグリッド株式会社,350A,デジタルグリッド,デジタルグリッド,デジタルグリッド株式会社,電気業,2.0
電源開発株式会社,9513,電源開発,電源開発,電源開発株式会社,電気業,2.0
東京電力ホールディングス株式会社,9501,東京電力ホールディングス,東京電力ホールディングス,東京電力ホールディングス株式会社,電気業,2.0
東北電力株式会社,9506,東北電力,東北電力,東北電力株式会社,電気業,2.0
広島ガス株式会社,9535,広島ガス,広島ガス,広島ガス株式会社,ガス業,2.0
北陸電力株式会社,9505,北陸電力,北陸電力,北陸電力株式会社,電気業,2.0
北海道電力株式会社,9509,北海道電力,北海道電力,北海道電力株式会社,電気業,2.0
レジル株式会社,176A,レジル,レジル,レジル株式会社,電気業,2.0
インフロニア・ホールディングス株式会社,5076,インフロニア・ホールディングス,インフロニア・ホールディングス,インフロニア・ホールディングス株式会社,建設業,2.0
鹿島建設株式会社,1812,鹿島建設,鹿島建設,鹿島建設株式会社,建設業,2.0
株式会社　安藤・間,1719,安藤・間,安藤・間,株式会社安藤・間,建設業,2.0
株式会社大林組,1802,大林組,大林組,株式会社大林組,建設業,2.0
株式会社奥村組,1833,奥村組,奥村組,株式会社奥村組,建設業,2.0
株式会社佐藤渡辺,1807,佐藤渡辺,佐藤渡辺,株式会社佐藤渡辺,建設業,2.0
株式会社東京エネシス,1945,東京エネシス,東京エネシス,株式会社東京エネシス,建設業,2.0
栗田工業株式会社,6370,栗田工業,栗田工業,栗田工業株式会社,その他の製造業,1.0
五洋建設株式会社,1893,五洋建設,五洋建設,五洋建設株式会社,建設業,2.0
清水建設株式会社,1803,清水建設,清水建設,清水建設株式会社,建設業,2.0
住友林業株式会社,1911,住友林業,住友林業,住友林業株式会社,建設業,2.0
世紀東急工業株式会社,1898,世紀東急工業,世紀東急工業,世紀東急工業株式会社,建設業,2.0
積水ハウス株式会社,1928,積水ハウス,積水ハウス,積水ハウス株式会社,建設業,2.0
大成建設株式会社,1801,大成建設,大成建設,大成建設株式会社,建設業,2.0
大東建託株式会社,1878,大東建託,大東建託,大東建託株式会社,不動産業・物品賃貸業,1.0
大和ハウス工業株式会社,1925,大和ハウス工業,大和ハウス工業,大和ハウス工業株式会社,建設業,2.0
